0: SE_PLY_CLIMB_ROPE
1: SE_PLY_WALK_ON_ROPE
2: SE_PLY_MONKEY_BARS
3: SE_PLY_TARZAN_ROPE
4: SE_EMY_WANWAN_BARK
5: SE_EMY_WANWAN_GACHI
6: SE_EMY_WANWAN_KUSARI
7: SE_OBJ_SWITCH_APP
8: SE_OBJ_STEP_ON_SWITCH
9: SE_OBJ_LIFT_TENBIN
10: SE_OBJ_TURN_LIFT
11: SE_OBJ_FLIPPER
12: SE_OBJ_DOOR_OPEN
13: SE_OBJ_DOOR_CLOSE
14: SE_OBJ_BDOOR_OPEN
15: SE_OBJ_BDOOR_CLOSE
16: SE_SYS_SWITCH_CT
17: SE_SYS_SWITCH_CT_LAST
18: SE_PLY_FOOTNOTE
19: SE_PLY_FOOTNOTE_DOKAN
20: SE_PLY_FOOTNOTE_SAND
21: SE_PLY_FOOTNOTE_SNOW
22: SE_PLY_ARRIVE_POINT
23: SE_PLY_MAP_JUMP
24: SE_PLY_DOKAN_IN_OUT
25: SE_EMY_HMBR_WALK
26: SE_EMY_MAP_KPJR_FOOT
27: SE_EMY_MAP_KPJR_JUMP
28: SE_OBJ_PTBK_MOVE
29: SE_OBJ_SHIRO_BOYON
30: SE_OBJ_STAR_COIN_BOARD
31: SE_OBJ_KINO_HOUSE_APP
32: SE_OBJ_KINO_HOUSE_DISAPP
33: SE_OBJ_NEW_ROAD
34: SE_OBJ_BRIDGE_APP
35: SE_OBJ_MAP_FLAG_HATAMEKI
36: SE_OBJ_YOUGAN_ABUKU
37: SE_OBJ_BOARD_OFF
38: SE_OBJ_BOARD_DISAPP
39: SE_VOC_MAP_P_HELP
40: SE_AMB_EARTHQUAKE
41: SE_AMB_SEA_WAVE
42: SE_AMB_SABAKU_WIND
43: SE_AMB_YOUGAN
44: SE_SYS_COURSE_IN
45: SE_SYS_COURSE_IN_L
46: SE_SYS_ZOOM_OUT
47: SE_SYS_ZOOM_IN
48: SE_SYS_WORLD_CHG
49: SE_SYS_NEW_POINT
50: SE_SYS_NEW_POINT_END
51: SE_SYS_SCROLL_COMAND
52: SE_EMY_KPJR_DAMAGE_V
53: SE_EMY_KPJR_CRY_V
54: SE_EMY_KPJR_UH
55: SE_EMY_KPJR_LAND
56: SE_EMY_KPJR_JITABATA
57: SE_EMY_KPJR_GUARD_ON
58: SE_EMY_KPJR_GUARDING
59: SE_EMY_KPJR_GUARD_OFF
60: SE_EMY_KPJR_DAMAGE
61: SE_EMY_KPJR_PURUPURU
62: SE_EMY_HANABI_IGNITION
63: SE_EMY_HANABI_TAME
64: SE_OBJ_HANABI_HYU
65: SE_OBJ_HANABI_DON
66: SE_OBJ_ROCK
67: SE_AMB_ERUPT
68: SE_PLY_WDOKAN_SHOT
69: SE_PLY_CANNON_SHOT
70: SE_VOC_MA_OTOTO
71: SE_VOC_MA_WOOO
72: SE_VOC_MA_CLIMB
73: SE_VOC_MA_HOH
74: SE_VOC_MA_DANGLE
75: SE_PLY_WARP
76: SE_PLY_FB_FROM_LUIGI
77: SE_PLY_FB_FROM_MARIO
78: SE_PLY_PLAYER_FUMU
79: SE_OBJ_DOKAN_APP
80: SE_EMY_FUWA_FUMU_L
81: SE_SYS_VS_COUNT
82: SE_SYS_VS_COUNT_LAST
83: SE_SYS_VS_STAR_GET
84: SE_SYS_VS_STAR_DENIED
85: SE_SYS_VS_STAR_APP
